(0.9649659812,-0.2623750387)
(0.9649659891,-0.2623749372)
(0.898940053,-0.4380716557)
(-0.3818030262,0.9242436238)
(-0.5477865833,0.8366180497)
(-0.6944722918,0.719519458)
(-0.6543130491,0.7562238568)
(-0.4997631045,0.8661621327)
(-0.8855809599,0.4644853366)
(-0.9101418224,0.4142970633)
(-0.7840994974,0.6206352917)
(-0.8166925929,0.5770730433)
(-0.01580581879,0.9998749061)
(-0.2023690308,0.9793091922)
(-0.1482127303,0.9889554095)
(-0.3291047108,0.9442933796)
(0.3523990183,0.9358495835)
(0.2269955679,0.9738956112)
(0.1713141906,0.9852162229)
(0.03919907653,0.9992312803)
(0.5210692288,0.8535140882)
(0.5700631934,0.8216005572)
(0.6713828176,0.7411103367)
(0.4049841554,0.9143234684)
(0.7980443742,0.6025981676)
(0.8965918134,0.4428571978)
(0.8295745647,0.5583954558)
(0.713550238,0.700603686)
(0.9193066606,0.3935412023)
(0.9635533856,0.2675149116)
(0.9965701583,0.08274839217)
(0.9770140604,0.2131734932)
(0.9649659258,-0.2623749203)
(0.8697457579,-0.4934999535)
(0.9649657148,-0.2623754292)
(0.8989399296,-0.4380718335)
(0.8989398717,-0.4380718468)
(0.6753240141,-0.7375211876)
(0.8012454884,-0.598335724)
(0.7622079553,-0.6473322354)
(0.8989399028,-0.4380717208)
(0.9649658508,-0.2623750141)
(0.9649658549,-0.2623749274)
(0.9185259879,-0.3953602789)
(-0.2766821405,0.9609614778)
(-0.3958221435,0.9183272677)
(-0.563414771,0.8261743267)
(-0.610651375,0.7918996496)
(-0.4501508472,0.8929525493)
(-0.7491854831,0.6623604292)
(-0.7092698334,0.704937318)
(-0.8307141086,0.5566996154)
(-0.8590090628,0.511960702)
(-0.1179922286,-0.9930147768)
(-0.1737721709,-0.9847861459)
(-0.3530319154,-0.9356115772)
(-0.4743342426,-0.8803451422)
(-0.3014734963,-0.9534748278)
(-0.6736513068,-0.7390497231)
(-0.521646465,-0.8531620767)
(-0.764424085,-0.6447141562)
(-0.6304847549,-0.7762019681)
(-0.9986881781,0.05120808837)
(-0.9715278614,0.2369258758)
(-0.9567780589,0.2908196951)
(-0.9941018802,0.1084521007)
(-0.9477437281,-0.3190333589)
(-0.8988743933,-0.4382069973)
(-0.7998878168,-0.6001500141)
(-0.8714336657,-0.4905138585)
(-0.9195322845,0.3930150721)
(-0.9390410856,0.3438055029)
(-0.9864925945,0.1638072799)
